EntrezA	EntrezB
5888	7157
5888	580
5888	7341
5888	4738
5888	60
5888	6117
5888	10635
5888	641
5888	836
5888	10482
5888	5216
5888	3476
5888	5878
5888	6667
5888	4436
5888	3014
5888	7486
5888	6119
5888	10933
5888	472
5888	1111
5888	7431
5888	672
5888	2177
5888	54386
5888	8535
5888	7517
5888	9656
5888	546
5888	5889
5888	2073
5888	79728
5888	9577
5888	79577
5888	5371
5888	11144
5888	26517
5888	7804
5888	84893
5888	115426
5888	151648
5888	9093
5888	51719
5888	92345
5888	25788
5888	7003
5888	79184
5888	79035
5888	7347
5888	23047
5888	55605
5888	1107
5888	91748
5888	10535
5888	10844
5888	8438
5888	10363
5888	5532
5888	9197
5888	51426
5888	79648
5888	10
5888	157638
5888	54904
5888	353497
5888	11009
5888	126074
5888	1939
5888	10042
5888	56886
5888	80319
5888	4629
5888	7358
5888	729475
6616	8775
6616	6804
6616	9527
6616	1956
6616	3799
6616	6809
6616	6453
6616	6810
6616	10815
6616	9146
6616	114088
6616	23673
6616	6811
6616	23557
6616	8676
6616	2054
6616	23390
6616	3064
6616	26747
6616	1716
6616	1063
6616	3745
6616	9522
6616	6845
6616	80725
6616	51019
6616	55172
6616	6844
6616	29091
6616	6857
6616	84258
6616	112476
8775	6804
8775	9527
8775	9554
8775	6810
8775	8773
8775	23673
8775	8673
8775	8417
8775	6811
8775	9482
8775	9641
8775	10228
8775	9570
8775	3611
8775	2335
8775	7222
8775	7175
8775	2768
8775	57142
8775	4905
8775	7412
8775	112755
8775	8774
8775	6844
8775	10490
6654	2885
6654	5781
6654	6464
6654	4690
6654	1398
6654	2260
6654	1956
6654	5295
6654	3265
6654	5335
6654	30011
6654	1399
6654	6453
6654	613
6654	2064
6654	25
6654	6714
6654	2059
6654	10006
6654	4771
6654	2534
6654	1436
6654	5777
6654	10818
6654	8440
6654	29763
6654	3055
6654	50618
6654	6709
6654	4233
6654	274
6654	7132
6654	302
6654	51429
6654	4582
6654	5979
6654	10580
6654	9467
6654	10750
6654	79705
6654	10250
6654	23043
6654	6014
6654	4703
6654	3069
6654	51225
6654	54869
6654	64787
6654	9644
2885	7415
2885	28964
2885	10213
2885	5781
2885	50855
2885	6464
2885	10657
2885	6655
2885	868
2885	4690
2885	7456
2885	572
2885	8976
2885	1315
2885	5499
2885	26469
2885	2060
2885	998
2885	5430
2885	10454
2885	5564
2885	1398
2885	1742
2885	2260
2885	1956
2885	3320
2885	5295
2885	1793
2885	5719
2885	4214
2885	8350
2885	8351
2885	8352
2885	8353
2885	8354
2885	8355
2885	8356
2885	8357
2885	8358
2885	8968
2885	161
2885	5501
2885	10262
2885	6950
2885	5335
2885	30011
2885	6850
2885	1399
2885	23607
2885	1027
2885	2065
2885	2549
2885	3937
2885	27040
2885	675
2885	613
2885	2064
2885	5786
2885	25
2885	2889
2885	6714
2885	11184
2885	29760
2885	3313
2885	9846
2885	367
2885	5782
2885	5194
2885	1759
2885	5747
2885	10015
2885	3842
2885	7534
2885	8928
2885	3312
2885	10617
2885	8867
2885	867
2885	5607
2885	60
2885	1785
2885	2263
2885	2534
2885	7454
2885	2185
2885	3643
2885	2887
2885	3717
2885	1912
2885	54165
2885	23476
2885	5621
2885	1164
2885	5601
2885	5296
2885	8503
2885	5159
2885	1605
2885	3667
2885	1436
2885	5777
2885	8751
2885	10818
2885	87
2885	2317
2885	3636
2885	2886
2885	8651
2885	9826
2885	9146
2885	9101
2885	5829
2885	8452
2885	3716
2885	6633
2885	6279
2885	7409
2885	3303
2885	3304
2885	1213
2885	356
2885	5925
2885	5536
2885	597
2885	7529
2885	80306
2885	8607
2885	121504
2885	554313
2885	8294
2885	8359
2885	8360
2885	8361
2885	8362
2885	8363
2885	8364
2885	8365
2885	8366
2885	8367
2885	8368
2885	8370
2885	3326
2885	84557
2885	54206
2885	5573
2885	23019
2885	3190
2885	7080
2885	5291
2885	11217
2885	445815
2885	22948
2885	2017
2885	6853
2885	4088
2885	10040
2885	3635
2885	695
2885	1639
2885	5921
2885	5530
2885	11127
2885	29102
2885	7251
2885	6280
2885	71
2885	7533
2885	2512
2885	3561
2885	4233
2885	6602
2885	7410
2885	1840
2885	8871
2885	6640
2885	5077
2885	9228
2885	5062
2885	2597
2885	2066
2885	610
2885	5701
2885	3309
2885	22941
2885	51082
2885	1937
2885	23020
2885	1191
2885	6667
2885	2690
2885	160
2885	5148
2885	10236
2885	8664
2885	147179
2885	9699
2885	51729
2885	8935
2885	56252
2885	5364
2885	4869
2885	81876
2885	7532
2885	10603
2885	1795
2885	6452
2885	7006
2885	2033
2885	7535
2885	10253
2885	940
2885	8660
2885	4914
2885	5156
2885	3674
2885	3784
2885	7408
2885	5144
2885	4133
2885	3815
2885	4801
2885	274
2885	50807
2885	5287
2885	10451
2885	7132
2885	10188
2885	51517
2885	7431
2885	2175
2885	6760
2885	567
2885	835
2885	5720
2885	23013
2885	1601
2885	55243
2885	25920
2885	8764
2885	10293
2885	8826
2885	302
2885	26292
2885	10114
2885	8631
2885	10787
2885	9641
2885	22999
2885	22794
2885	4582
2885	10971
2885	7531
2885	326
2885	259
2885	4952
2885	29109
2885	3183
2885	3075
2885	2057
2885	1173
2885	9971
2885	4691
2885	3791
2885	1936
2885	2261
2885	23624
2885	5783
2885	2316
2885	5465
2885	4486
2885	25970
2885	3572
2885	3568
2885	27
2885	8471
2885	4163
2885	9577
2885	996
2885	3184
2885	351
2885	58480
2885	5336
2885	25930
2885	2335
2885	801
2885	805
2885	808
2885	9757
2885	3064
2885	10019
2885	3702
2885	177
2885	558
2885	1441
2885	5979
2885	9185
2885	11183
2885	1175
2885	10915
2885	2533
2885	55437
2885	10557
2885	10540
2885	86
2885	11176
2885	3181
2885	2120
2885	2516
2885	152503
2885	325
2885	9266
2885	887
2885	2638
2885	163
2885	56658
2885	1615
2885	1445
2885	3663
2885	9093
2885	7249
2885	7018
2885	3563
2885	7112
2885	5290
2885	3838
2885	8570
2885	55593
2885	10919
2885	9793
2885	4733
2885	154
2885	22974
2885	29086
2885	79705
2885	10956
2885	3192
2885	1969
2885	3953
2885	10574
2885	92799
2885	5791
2885	23336
2885	29127
2885	4638
2885	81
2885	11188
2885	8482
2885	10492
2885	26135
2885	8853
2885	2495
2885	6601
2885	4627
2885	5717
2885	2213
2885	26191
2885	2670
2885	10576
2885	6599
2885	5338
2885	3339
2885	3560
2885	79184
2885	548593
2885	79008
2885	350
2885	51371
2885	79930
2885	79026
2885	7984
2885	6224
2885	139716
2885	9784
2885	2324
2885	51560
2885	3866
2885	3853
2885	3872
2885	10342
2885	183
2885	3400
2885	3848
2885	7412
2885	4009
2885	3875
2885	55114
2885	6711
2885	6128
2885	3856
2885	2023
2885	3550
2885	84959
2885	6619
2885	9472
2885	7462
2885	7360
2885	729
2885	373156
2885	5495
2885	2521
2885	50852
2885	8506
2885	240
2885	10845
2885	1994
2885	54521
2885	10575
2885	64714
2885	1729
2885	116985
2885	9649
2885	9712
2885	10618
2885	6461
2885	8724
2885	10252
2885	3059
2885	58
2885	11122
2885	1815
2885	83541
2885	9282
2885	51726
2885	57007
2885	63898
2885	2302
2885	10642
2885	9948
2885	22839
2885	292
2885	344148
2885	85358
2885	10278
2885	79890
2885	9744
2885	2318
2885	3857
2885	23352
2885	5930
2885	9921
2885	25759
2885	122809
2885	7203
2885	3240
2885	79723
2885	933
2885	293
2885	7020
2885	1778
2885	1627
2885	171023
2885	6137
2885	6223
2885	4007
2885	57606
2885	399687
2885	25924
2885	238
2885	3005
2885	10782
2885	7010
2885	6014
2885	58513
2885	5775
2885	84172
2885	5796
2885	259215
2885	63971
2885	1894
2885	2954
2885	94015
2885	5532
2885	112574
2885	831
2885	2909
2885	26052
2885	10100
2885	51762
2885	5950
2885	2047
2885	9050
2885	7311
2885	1465
2885	6792
2885	3329
2885	5339
2885	3852
2885	9743
2885	57326
2885	79084
2885	7317
2885	203068
2885	2322
2885	387357
2885	6016
2885	6462
2885	5644
2885	1814
2885	6237
2885	284086
2885	11180
2885	2
2885	3887
2885	9054
2885	7021
2885	65979
2885	2550
2885	9732
2885	54532
2885	85409
2885	6604
2885	6261
2885	6402
2885	197
2885	399694
2885	3151
2885	2826
2885	3855
2885	51596
2885	1748
2885	6506
2885	54900
2885	8939
2885	55183
2885	966
2885	2197
2885	10694
2885	10825
2885	64780
2885	25890
2885	2571
2885	9187
2885	1271
2885	3880
2885	140885
2885	55698
2885	54149
2885	65220
2885	2004
2885	287
2885	8491
2885	55234
2885	7916
2885	56955
2885	10383
2885	1892
2885	5445
2885	9840
2885	155435
2885	92591
2885	9901
2885	266812
2885	118471
2885	51329
2885	23172
2885	3615
2885	10687
2885	3849
2885	26275
2885	282974
2885	11248
2885	51375
2885	124540
2885	144097
2885	4253
2885	669
2885	2639
2885	7918
2885	212
2885	54923
2885	6603
2885	23114
2885	790
2885	80852
2885	102
2885	3295
2885	5917
2885	83481
2885	4606
2885	94137
2885	10957
2885	873
2885	54106
2885	3884
2885	3305
2885	79949
2885	5424
2885	11154
2885	4629
2885	58512
2885	6887
2885	9324
2885	8529
2885	2271
2885	2098
2885	3861
2885	10627
2885	26153
2885	10659
2885	27079
2885	6855
2885	4130
2885	63916
2885	128853
2885	5799
2885	103910
2885	9312
2885	30811
2885	1951
2885	3891
2885	170825
2885	27154
2885	29934
2885	11250
2885	9103
2885	357
2885	2799
2885	29886
2885	23230
2885	57190
2885	91179
2885	29998
2885	2151
2885	3224
2885	2137
2885	80831
2885	9749
2885	2334
2885	81875
2885	8646
2885	7287
2885	56666
2885	60385
2885	6578
2885	9963
2885	7553
2885	90134
2885	441400
2885	80317
2885	8581
2885	2134
2885	80005
2885	54058
2885	1337
2885	2168
2885	90843
2885	5169
2885	1417
2885	9644
2885	400745
2885	283377
2885	55785
2885	1447
2885	4509
2885	3700
2885	7580
2885	9768
2885	51085
2885	150946
2885	118788
2885	291
2885	64762
2885	79834
2885	4538
2885	644150
2885	10165
2885	4744
2885	9931
2885	3886
2885	8689
2885	3888
2885	3882
2885	3885
2885	3883
2885	3851
2885	50810
2885	285590
2885	171425
2885	80086
2885	3868
2885	51495
2885	85013
2885	319101
2885	4239
2885	25758
2885	3780
2885	10216
2885	282890
2885	8763
2885	57569
2885	3889
2885	3892
6908	10856
6908	4609
6908	3725
6908	1487
6908	2961
6908	6877
6908	5430
6908	5970
6908	1387
6908	9001
6908	6878
6908	2957
6908	6882
6908	1869
6908	7157
6908	367
6908	2958
6908	2972
6908	9015
6908	9013
6908	2959
6908	3065
6908	23468
6908	57332
6908	10370
6908	25942
6908	2353
6908	6046
6908	4793
6908	4149
6908	196
6908	4802
6908	6047
6908	9014
6908	9044
6908	8721
6908	6884
6908	9519
6908	6883
6908	5925
6908	2908
6908	10401
6908	6595
6908	4193
6908	8607
6908	6873
6908	27086
6908	6881
6908	5077
6908	5701
6908	4171
6908	2968
6908	6667
6908	5080
6908	6256
6908	29894
6908	4666
6908	5966
6908	6917
6908	2033
6908	468
6908	6872
6908	5927
6908	8648
6908	23054
6908	4801
6908	8554
6908	80854
6908	10589
6908	2099
6908	1660
6908	10320
6908	6418
6908	6880
6908	129685
6908	1655
6908	3516
6908	6688
6908	5451
6908	6621
6908	30827
6908	1859
6908	7343
6908	9441
6908	6879
6908	55290
6908	6618
6908	9329
6908	83860
6908	6314
6908	3297
6908	2962
6908	602
6908	79101
6908	51692
6908	92345
6908	688
6908	54700
6908	9328
6908	10623
6908	7003
6908	6874
6908	5452
6908	10849
6908	2963
6908	5454
6908	1810
6908	4487
6908	79004
6908	2976
6908	2960
6908	3607
6908	6689
6908	2295
6908	8804
6908	1994
6908	1390
6908	53981
6908	55689
6908	54457
6908	9330
6908	138474
6908	8148
6908	100310785
6908	165918
6908	10621
6908	6875
6908	3146
6908	11036
6908	136227
6908	5079
6908	2067
6908	89885
6908	5978
6908	57456
6908	90506
6908	8456
6908	284403
6908	55810
6908	7629
6908	283078
7415	8454
7415	55666
7415	4287
7415	55968
7415	5518
7415	5886
7415	1017
7415	128866
7415	3320
7415	5700
7415	23435
7415	5682
7415	857
7415	5501
7415	5683
7415	10133
7415	6714
7415	7157
7415	3091
7415	5515
7415	7189
7415	367
7415	7534
7415	3312
7415	7341
7415	6045
7415	8453
7415	4793
7415	60
7415	6500
7415	10014
7415	10277
7415	1080
7415	8452
7415	3708
7415	10987
7415	4792
7415	3688
7415	920
7415	207
7415	7529
7415	891
7415	4193
7415	5071
7415	23197
7415	775
7415	5710
7415	22948
7415	10040
7415	4794
7415	11124
7415	9047
7415	51035
7415	23397
7415	9373
7415	57617
7415	409
7415	55768
7415	3308
7415	5688
7415	8626
7415	55432
7415	7486
7415	8411
7415	10112
7415	7979
7415	267
7415	6310
7415	5774
7415	672
7415	2099
7415	8945
7415	26232
7415	10537
7415	51667
7415	11200
7415	8764
7415	9641
7415	9820
7415	79139
7415	335
7415	6613
7415	4215
